,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,химшлак последний Al2O3,химшлак первый Al2O3_1,136 RE,54E1,60E1,UIC54,НЕТ,ОР50,ОР65,Р50,Р65,Рельсы трамвайные,Шар заг d шара 100 мм 2 гр.,"Шар заг d шара 80-100 мм 2,3 гр.",Шар заг d шара 80-100 мм 4 гр.,Шары мелющие d 80-100 мм,Швеллер 40У,900А,G2HH,R260,R350HT,НХ,С255,Ш2.2,Ш2Л,Э73Ф,Э76,Э76Ф,Э76ХАФ,Э76ХФ,Э90ХАФ,сыпуч известь РП,химшлак первый SiO2_1
1517,31.0,42.8833333,15.55,42.8833333,0.41416000000000003,0.11799809230239361,0.263306,0.148817,1578.0,1596.0,11.646721099999999,12563.3440514,112.5,1.0,16.230999999999998,0.05,0.45799999999999996,0.02,0.115,0.409,0.20858067856035825,3256.0,0.001,0.42700000000000005,0.057,0.105,0.627,0.006,0.009000000000000001,0.067,0.008,0.02,0.171,0.001,0.003,0.002,0.7759999999999999,0.0002,0.059000000000000004,0.10800000000000001,0.8640000000000001,0.005,0.011000000000000001,0.067,0.009000000000000001,0.017,0.305,0.002,0.037000000000000005,54.5,1.0,11.9,0.74,2.2,55.2,0.9,11.0,0.27,2.1,26.0,3.9,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136,24.8
1518,29.0,44.6833333,18.966666699999998,44.6833333,0.52756,0.11799809230239361,0.262167,0.10453,1546.0,1588.0,11.306229,13514.2355009,112.2,1.0,16.84,0.05,0.598,0.02,0.048,0.409,0.20858067856035825,4272.0,0.001,0.33399999999999996,0.062,0.111,0.632,0.009000000000000001,0.008,0.081,0.006999999999999999,0.021,0.212,0.001,0.002,0.002,0.7609999999999999,0.0001,0.063,0.109,0.857,0.008,0.011000000000000001,0.08,0.008,0.018000000000000002,0.307,0.002,0.036000000000000004,52.7,1.2,13.1,0.77,2.2,61.1,0.4,7.8,0.11,2.4,25.4,4.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13699999999999998,24.3
1519,24.0,48.3666667,22.8666667,48.3666667,0.51879,0.11799809230239361,0.266776,0.11106400000000001,1577.0,1578.0,10.3856891,12153.9358601,115.2,1.0,16.369,0.05,0.5870000000000001,0.02,0.055999999999999994,0.41600000000000004,0.20858067856035825,4632.0,0.002,0.36700000000000005,0.055999999999999994,0.111,0.638,0.006,0.008,0.076,0.006999999999999999,0.02,0.212,0.001,0.002,0.002,0.7659999999999999,0.0001,0.057,0.11199999999999999,0.858,0.005,0.012,0.076,0.008,0.016,0.302,0.002,0.037000000000000005,55.3,1.1,13.3,0.36,2.4,52.4,1.0,8.4,0.2,2.0,26.5,3.6,3.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.107,22.8
1520,19.0,46.0,9.8,46.0,0.51666,0.11799809230239361,0.277381,0.153394,1601.0,1588.0,9.2227949,11908.1632653,113.9,1.0,14.116,0.05,0.584,0.02,0.11599999999999999,0.431,0.20858067856035825,1945.0,0.001,0.354,0.063,0.114,0.622,0.006,0.01,0.08,0.008,0.019,0.175,0.001,0.002,0.002,0.763,0.0003,0.064,0.114,0.86,0.005,0.012,0.079,0.009000000000000001,0.016,0.306,0.002,0.037000000000000005,55.9,1.7,12.9,0.64,2.2,57.5,0.5,9.9,0.15,2.2,25.9,4.0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.138,25.1
1521,12.0,54.8666667,13.666666699999999,54.8666667,0.7104,0.11799809230239361,0.192905,0.272928,1655.0,1612.0,16.9327557,13320.0,98.2,1.0,30.399,0.45799999999999996,0.474,0.02,0.33399999999999996,0.293,0.20858067856035825,3034.0,0.001,0.092,0.06,0.096,0.506,0.006999999999999999,0.008,0.064,0.008,0.02,0.105,0.001,0.001,0.002,0.7859999999999999,0.0003,0.066,0.094,0.835,0.005,0.012,0.063,0.013000000000000001,0.016,0.303,0.002,0.04,49.6,5.0,10.1,5.3,2.2,57.8,0.6,8.7,0.26,2.2,25.9,3.8,3.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.196,22.2
1523,9.0,85.25,41.466666700000005,83.7333333,0.539335,0.000572,0.352756,0.198016,1572.0,1634.0,11.9322176,12340.9967846,114.5,1.0,33.271,0.05,0.609,0.02,0.152,0.5479999999999999,0.001,8529.0,0.001,0.32899999999999996,0.06,0.126,0.509,0.008,0.011000000000000001,0.086,0.006999999999999999,0.027999999999999997,0.141,0.001,0.001,0.003,0.7440000000000001,0.00031967288191034744,0.062,0.124,0.8140000000000001,0.006999999999999999,0.013000000000000001,0.084,0.009000000000000001,0.012,0.27899999999999997,0.001,0.001,38.2,2.8,21.4,0.84,2.0,59.7,0.5,7.1,0.15,2.4,24.8,4.0,18.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6459999999999999,19.5
1557,62.0,47.8666667,20.8166667,47.8666667,0.44659,0.11799809230239361,0.1891,0.097295,1556.0,1604.0,9.394680099999999,12076.8614892,115.4,1.0,14.52,0.05,0.501,0.02,0.073,0.289,0.20858067856035825,4190.0,0.001,0.384,0.067,0.096,0.6709999999999999,0.006999999999999999,0.011000000000000001,0.057999999999999996,0.008,0.019,0.218,0.001,0.001,0.002,0.725,0.0001,0.068,0.096,0.831,0.006,0.013999999999999999,0.057,0.009000000000000001,0.013999999999999999,0.294,0.002,0.036000000000000004,51.3,0.7,13.9,0.33,2.1,56.9,0.7,10.1,0.14,2.2,26.2,4.8,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.064,24.7
1558,39.0,47.8833333,19.6833333,47.8833333,0.50741,0.11799809230239361,0.165045,0.08826,1571.0,1600.0,8.7011486,12104.6570703,116.4,1.0,13.888,0.05,0.5770000000000001,0.02,0.069,0.252,0.20858067856035825,3971.0,0.001,0.37200000000000005,0.076,0.08800000000000001,0.688,0.005,0.01,0.057999999999999996,0.008,0.02,0.209,0.001,0.001,0.002,0.723,0.0001,0.069,0.095,0.826,0.006,0.008,0.057,0.009000000000000001,0.011000000000000001,0.284,0.001,0.036000000000000004,49.2,1.3,13.0,0.47,2.0,52.6,0.7,7.4,0.09,2.3,23.0,5.2,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.064,24.3
1559,39.0,49.216666700000005,19.65,49.216666700000005,0.46385,0.11799809230239361,0.11793900000000002,0.06414,1556.0,1596.0,9.2102946,12653.4351145,111.9,1.0,15.11,0.05,0.525,0.02,0.051,0.18,0.20858067856035825,4144.0,0.001,0.37,0.071,0.086,0.728,0.005,0.011000000000000001,0.063,0.009000000000000001,0.018000000000000002,0.24100000000000002,0.001,0.001,0.002,0.728,0.0003,0.07200000000000001,0.086,0.828,0.004,0.013000000000000001,0.062,0.01,0.019,0.294,0.002,0.037000000000000005,58.7,0.7,10.3,0.18,2.5,56.9,0.9,8.8,0.22,2.6,22.0,4.6,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.052000000000000005,23.4
1560,38.0,55.1833333,19.4833333,55.1833333,0.4553,0.11799809230239361,0.129904,0.07433,1573.0,1593.0,6.821373599999999,12265.8682635,113.9,1.0,12.305,0.05,0.514,0.02,0.062,0.198,0.20858067856035825,3983.0,0.002,0.379,0.077,0.09300000000000001,0.723,0.005,0.01,0.062,0.009000000000000001,0.02,0.233,0.001,0.001,0.002,0.718,0.0001,0.079,0.09300000000000001,0.835,0.005,0.012,0.062,0.01,0.016,0.299,0.002,0.036000000000000004,50.9,2.3,13.7,0.43,2.2,53.3,0.5,8.0,0.12,2.4,22.6,4.7,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.051,22.9
1662,7.0,47.0166667,23.1666667,47.0166667,0.42198,0.11668800000000001,0.11836700000000001,0.13,1604.0,1635.0,14.371774800000003,12519.7122302,111.7,1.0,22.404,0.05,0.452,0.02,0.155,0.17600000000000002,0.204,4834.0,0.002,0.418,0.319,0.091,0.6920000000000001,0.006,0.01,0.063,0.011000000000000001,0.017,0.457,0.001,0.002,0.004,0.753,0.0004,0.418,0.091,0.799,0.005,0.012,0.062,0.011000000000000001,0.011000000000000001,0.5720000000000001,0.003,0.036000000000000004,56.2,0.7,11.7,0.14,2.7,55.8,0.4,9.4,0.1,2.0,27.4,4.5,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.122,20.6
1663,12.0,49.3833333,32.1666667,49.3833333,0.404285,0.11611600000000001,0.15095799999999998,0.129965,1536.0,1613.0,6.9769048,12780.9326425,113.7,1.0,11.446,0.05,0.429,0.02,0.141,0.22699999999999998,0.203,6852.0,0.002,0.452,0.318,0.114,0.6659999999999999,0.006999999999999999,0.011000000000000001,0.073,0.009000000000000001,0.019,0.451,0.002,0.002,0.004,0.772,0.0003,0.419,0.113,0.799,0.006999999999999999,0.011000000000000001,0.07200000000000001,0.01,0.013999999999999999,0.563,0.003,0.035,53.8,1.4,10.1,0.2,2.3,55.0,0.6,7.6,0.14,2.0,27.2,4.8,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08199999999999999,23.1
1665,23.0,42.033333299999995,29.383333299999997,42.033333299999995,0.30571,0.082368,0.058185,0.085275,1529.0,1595.0,13.0232355,12482.5865003,112.5,1.0,18.247,0.05,0.317,0.02,0.11,0.085,0.14400000000000002,6113.0,0.002,0.521,0.348,0.092,0.7340000000000001,0.009000000000000001,0.009000000000000001,0.071,0.012,0.017,0.484,0.002,0.003,0.003,0.773,0.0002,0.418,0.092,0.784,0.008,0.011000000000000001,0.071,0.013000000000000001,0.013000000000000001,0.5660000000000001,0.003,0.036000000000000004,55.6,0.5,7.3,0.16,3.2,59.1,0.2,4.5,0.1,2.2,26.9,4.5,3.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.054000000000000006,17.6
1666,21.0,43.8666667,25.716666699999998,43.8666667,0.15538,0.077792,0.06343700000000001,0.060145000000000004,1530.0,1595.0,11.611422,12421.516526200001,109.7,1.0,16.942999999999998,0.05,0.132,0.02,0.068,0.095,0.136,5324.0,0.004,0.639,0.35,0.10099999999999999,0.73,0.008,0.009000000000000001,0.069,0.013000000000000001,0.017,0.508,0.003,0.004,0.004,0.7559999999999999,0.0003,0.42200000000000004,0.102,0.79,0.006999999999999999,0.01,0.069,0.013999999999999999,0.012,0.564,0.003,0.037000000000000005,64.6,0.3,8.7,0.13,2.9,61.3,0.3,5.7,0.13,2.3,26.3,4.9,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.042,22.3
1667,20.0,49.7333333,25.65,49.7333333,0.34951,0.0858,0.12235399999999999,0.10515999999999999,1544.0,1591.0,10.442292199999999,12879.532163700002,114.6,1.0,17.311,0.05,0.368,0.02,0.114,0.184,0.15,5506.0,0.003,0.469,0.34600000000000003,0.105,0.679,0.008,0.012,0.071,0.012,0.018000000000000002,0.469,0.003,0.003,0.003,0.7809999999999999,0.0004,0.419,0.10800000000000001,0.787,0.006999999999999999,0.012,0.07200000000000001,0.013999999999999999,0.015,0.563,0.003,0.036000000000000004,63.0,0.7,10.4,0.16,2.8,56.6,0.2,7.8,0.12,2.1,27.0,4.6,4.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06,22.8
1726,54.0,46.6833333,18.3,46.6833333,0.40287,0.11799809230239361,0.241169,0.130103,1549.0,1589.0,11.1625,12298.3606557,111.4,1.0,16.967,0.05,0.445,0.02,0.10300000000000001,0.371,0.20858067856035825,3751.0,0.001,0.414,0.061,0.10300000000000001,0.612,0.008,0.008,0.073,0.008,0.026000000000000002,0.171,0.001,0.002,0.002,0.733,0.0002,0.062,0.102,0.825,0.006,0.012,0.073,0.008,0.016,0.28800000000000003,0.001,0.037000000000000005,49.7,0.7,13.1,0.64,1.9,52.2,0.7,11.3,0.17,2.1,25.3,3.5,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.106,26.2
1730,31.0,40.033333299999995,19.5166667,40.033333299999995,0.16526,0.11799809230239361,0.060369000000000006,0.044716000000000006,1542.0,1593.0,6.8605329,12816.7378309,112.3,1.0,9.155,0.05,0.125,0.02,0.045,0.092,0.20858067856035825,4169.0,0.002,0.598,0.10800000000000001,0.10099999999999999,0.773,0.008,0.006999999999999999,0.068,0.013000000000000001,0.021,0.257,0.002,0.002,0.002,0.718,0.0002,0.109,0.10099999999999999,0.8220000000000001,0.006999999999999999,0.008,0.068,0.013000000000000001,0.016,0.293,0.002,0.038,62.7,0.6,9.0,0.21,2.9,61.1,1.0,3.5,0.16,2.7,22.6,4.2,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,21.7
1731,23.0,43.85,14.95,43.85,0.12265,0.11799809230239361,0.032879000000000005,0.039837,1584.0,1584.0,6.5254275999999996,11213.3779264,106.9,1.0,9.538,0.05,0.107,0.02,0.049,0.049,0.20858067856035825,2794.0,0.002,0.636,0.102,0.11,0.7929999999999999,0.006999999999999999,0.006,0.066,0.018000000000000002,0.021,0.268,0.002,0.003,0.002,0.721,0.0005,0.10400000000000001,0.113,0.823,0.006,0.01,0.067,0.019,0.015,0.301,0.002,0.037000000000000005,62.5,0.3,8.4,0.17,2.7,61.9,0.2,6.8,0.06,2.7,22.7,3.5,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,22.9
1771,35.0,47.8666667,20.216666699999998,47.8666667,0.350455,0.160403,0.038939,0.076329,1559.0,1584.0,8.957415300000001,13322.6710635,109.2,1.0,14.093,0.05,0.359,0.02,0.10300000000000001,0.055999999999999994,0.27699999999999997,4489.0,0.002,0.46,0.327,0.094,0.748,0.008,0.01,0.068,0.011000000000000001,0.023,0.48100000000000004,0.001,0.002,0.003,0.772,0.0002,0.467,0.09300000000000001,0.7859999999999999,0.006999999999999999,0.012,0.068,0.011000000000000001,0.017,0.561,0.002,0.036000000000000004,58.1,0.4,8.6,0.13,2.6,62.3,0.5,4.7,0.08,2.7,23.3,3.8,3.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.052000000000000005,22.1
1782,32.0,48.3166667,15.15,48.3166667,0.31468,0.09136799999999999,0.140665,0.110133,1570.0,1588.0,12.727725900000001,16241.584158399999,113.4,1.0,20.428,0.05,0.32299999999999995,0.02,0.113,0.214,0.162,4101.0,0.002,0.49200000000000005,0.344,0.095,0.675,0.006999999999999999,0.012,0.08,0.013000000000000001,0.02,0.462,0.001,0.003,0.005,0.7659999999999999,0.00031967288191034744,0.41600000000000004,0.09300000000000001,0.7829999999999999,0.006,0.012,0.079,0.013999999999999999,0.013000000000000001,0.564,0.003,0.037000000000000005,56.3,0.2,8.5,0.08,3.0,50.5,0.4,4.7,0.08,2.6,19.5,3.9,2.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,18.7
1783,36.0,43.3666667,23.3166667,43.3666667,0.31790999999999997,0.121824,0.14793800000000001,0.088443,1539.0,1587.0,11.415680199999999,13427.305218000001,108.8,1.0,16.502,0.05,0.321,0.02,0.076,0.22699999999999998,0.21600000000000003,5218.0,0.002,0.47600000000000003,0.312,0.10300000000000001,0.662,0.005,0.011000000000000001,0.063,0.011000000000000001,0.022000000000000002,0.483,0.002,0.003,0.003,0.763,0.0003,0.42,0.102,0.794,0.005,0.012,0.063,0.013000000000000001,0.018000000000000002,0.5760000000000001,0.003,0.037000000000000005,48.6,1.3,7.7,0.3,2.5,59.9,0.3,8.3,0.15,2.3,26.3,3.4,3.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,19.5
